"","first_author","original_title","average_rating","ratings_count","ratings_1","ratings_5","genres","pages","chick_lit","if_wom","prop_one_star","prop_five_star"
"7413","Kiera Cass","Happily Ever After",4.22,18380,153,8505,"['young-adult', 'romance', 'fantasy', 'fiction', 'science-fiction']",416,"no","yes",0.00832426550598477,0.462731229597388
"7414","John D. Fitzgerald","The Great Brain",4.16,13870,242,6066,"['fiction', 'historical-fiction', 'young-adult', 'classics']",192,"no","no",0.0174477289113194,0.437346791636626
"7415","Lacey""]","The Fire Eternal",3.99,11798,284,4810,"['fantasy', 'young-adult', 'fiction']",432,"no","no",0.0240718765892524,0.407696219698254
"7416","Julie Garwood","Mercy",4.11,15678,106,6070,"['romance', 'contemporary', 'mystery', 'suspense', 'fiction', 'thriller']",454,"no","yes",0.006761066462559,0.387166730450313
"7417","Roddy Doyle","The Commitments",3.95,12070,98,3293,"['fiction', 'music', 'contemporary']",144,"no","no",0.00811930405965203,0.272825186412593
"7418","Sonya Sones","What My Mother Doesn't Know",3.83,13332,336,4238,"['young-adult', 'poetry', 'romance', 'fiction', 'contemporary', 'chick-lit']",261,"yes","yes",0.0252025202520252,0.317881788178818
"7419","Danielle Trussoni","Angelology",3.41,14808,1010,2882,"['fantasy', 'fiction', 'paranormal', 'thriller', 'mystery', 'historical-fiction']",464,"no","no",0.0682063749324689,0.19462452728255
"7420","Gabriel García Márquez","El coronel no tiene quién le escriba",3.86,10918,122,2831,"['fiction', 'classics']",170,"no","no",0.0111742077303535,0.259296574464188
"7421","Nicholas Pileggi","Wiseguy: Life in a Mafia Family",4.14,10204,76,3982,"['nonfiction', 'crime', 'biography', 'history', 'memoir', 'mystery']",320,"no","no",0.00744805958447668,0.390239121912975
"7422","Kent Haruf","Benediction",3.97,12221,160,3814,"['fiction', 'contemporary']",258,"no","no",0.0130922183127404,0.312085754029948
"7423","عباس معروفی"," سمفونی مردگان",4.08,7410,173,3060,"['fiction', 'classics', 'mystery']",352,"no","no",0.0233468286099865,0.412955465587045
"7424","Linda Howard","After the Night",4.1,18642,293,7641,"['romance', 'contemporary', 'suspense', 'mystery', 'fiction', 'chick-lit', 'thriller']",352,"yes","yes",0.0157171977255659,0.409880914065014
"7425","Chelsea Cain"," Evil at Heart",4.03,12383,125,4304,"['mystery', 'thriller', 'fiction', 'crime', 'suspense', 'horror']",345,"no","no",0.0100944843737382,0.347573285956553
"7426","Anatoli Boukreev","The Climb: Tragic Ambitions on Everest",3.89,10292,126,2873,"['nonfiction', 'travel', 'memoir', 'biography', 'history']",297,"no","no",0.0122425184609405,0.27914885347843
"7427","Louisa May Alcott","An Old-Fashioned Girl",4.05,15032,236,6026,"['classics', 'fiction', 'young-adult', 'historical-fiction', 'romance']",288,"no","yes",0.0156998403406067,0.400878126663119
"7428","Natsuki Takaya","フルーツバスケット 2",4.34,16106,96,8826,"['manga', 'fantasy', 'romance', 'graphic-novels', 'young-adult', 'fiction', 'comics']",194,"no","yes",0.00596051161057991,0.54799453619769
"7429","Bart D. Ehrman","Misquoting Jesus: The Story Behind Who Changed the Bible and Why",3.91,11242,360,3431,"['religion', 'nonfiction', 'history', 'philosophy', 'spirituality', 'christian']",266,"no","no",0.0320227717487991,0.305194805194805
"7430","Mariana Zapata","Wait for It",4.22,18415,510,9190,"['romance', 'contemporary', 'sports', 'fiction', 'chick-lit']",670,"yes","yes",0.0276948140103177,0.499049687754548
"7431","Ursula K. Le Guin","The Other Wind",4.06,13218,97,4717,"['fantasy', 'fiction', 'young-adult', 'science-fiction', 'classics']",211,"no","no",0.00733847783325768,0.356861855046149
"7432","William Shakespeare","The tragedie of King Richard the second",3.76,14124,261,3812,"['classics', 'fiction', 'historical-fiction', 'poetry']",168,"no","no",0.0184791843670348,0.269895213820447
"7433","Greg Iles","Blood Memory",4.09,12308,81,4422,"['mystery', 'fiction', 'thriller', 'suspense', 'crime', 'horror']",800,"no","no",0.00658108547286318,0.359278518037049
"7434","Jennifer Worth","Shadows of the Workhouse: The Drama of Life in Postwar London",4.12,13532,111,5018,"['nonfiction', 'memoir', 'history', 'biography']",294,"no","no",0.00820277859887674,0.370824711794265
"7435","Anna Gavalda","Ensemble, c'est tout",4.1,12882,194,5279,"['fiction', 'contemporary', 'romance', 'chick-lit']",488,"yes","yes",0.0150597733271231,0.409796615432386
"7436","Peter Lynch","One Up On Wall Street : How To Use What You Already Know To Make Money In The Market",4.12,11264,161,4590,"['business', 'nonfiction', 'self-help', 'biography']",304,"no","no",0.0142933238636364,0.407492897727273
"7437","Jonathan Swift","A Modest Proposal and Other Satirical Works",4.04,12988,141,4787,"['classics', 'fiction', 'philosophy']",64,"no","no",0.0108561749307053,0.368570988604866
"7438","Alan W. Watts","The Book on the Taboo Against Knowing Who You Are",4.28,10587,109,5387,"['philosophy', 'nonfiction', 'spirituality', 'psychology', 'religion', 'self-help']",163,"no","no",0.0102956456030981,0.508831585907245
"7439","Bertolt Brecht","Mutter Courage und ihre Kinder",3.66,12086,392,2969,"['classics', 'fiction']",112,"no","no",0.0324342214132054,0.245656131060731
"7440","Jeaniene Frost","Up From the Grave ",4.28,22035,145,10805,"['paranormal', 'romance', 'fantasy']",372,"no","yes",0.00658044020875879,0.490356251418198
"7441","Jessica Day George","Sun and Moon, Ice and Snow",3.97,17927,221,6083,"['fantasy', 'young-adult', 'romance', 'fiction']",328,"no","yes",0.0123277737490935,0.339320577899258
"7442","Brent Weeks","The Blood Mirror",4.29,13785,63,6437,"['fantasy', 'fiction']",704,"no","no",0.00457018498367791,0.466956837141821
"7443","Justin Torres","We the Animals",3.61,11748,440,2486,"['fiction', 'contemporary', 'young-adult']",128,"no","no",0.0374531835205993,0.211610486891386
"7444","Daniel C. Dennett","Breaking the Spell: Religion as a Natural Phenomenon",3.89,9366,312,3018,"['philosophy', 'religion', 'nonfiction', 'science', 'psychology', 'spirituality']",448,"no","no",0.0333119795003203,0.32222934016656
"7445","Edmund Spenser","The Faerie Queene",3.55,13761,623,3233,"['poetry', 'classics', 'fantasy', 'fiction']",1248,"no","no",0.0452728726110021,0.234939321270257
"7446","Kristen Ashley","",4.46,22087,171,13439,"['romance', 'contemporary', 'chick-lit', 'suspense']",530,"yes","yes",0.00774211074387649,0.60845746366641
"7447","Alissa Nutting","Tampa",3.34,12225,806,1632,"['fiction', 'contemporary', 'crime', 'thriller', 'mystery']",272,"no","no",0.0659304703476483,0.133496932515337
"7448","Arthur Nersesian","The Fuck-Up",3.56,9164,381,2027,"['fiction', 'contemporary', 'young-adult']",304,"no","no",0.0415757311217809,0.221191619380183
"7449","Steve Alten","MEG: A Novel of Deep Terror",3.76,11419,370,3353,"['horror', 'fiction', 'thriller', 'science-fiction', 'suspense']",438,"no","no",0.0324021367895613,0.293633417987565
"7450","Frank Beddor","Seeing Redd",3.85,15711,230,4506,"['fantasy', 'young-adult', 'fiction']",371,"no","no",0.0146394246069633,0.286805422952072
"7451","Hara""]","Appointment in Samarra",3.83,11420,279,3277,"['fiction', 'classics', 'historical-fiction']",251,"no","no",0.024430823117338,0.286952714535902
"7452","Janet Ahlberg","Each Peach Pear Plum",4.24,13148,161,6748,"['poetry', 'fiction', 'classics', 'fantasy']",34,"no","no",0.0122452083967143,0.513233951931853
"7453","Brandon Stanton","",4.5,12865,93,8139,"['nonfiction', 'art', 'biography', 'travel']",304,"no","no",0.0072289156626506,0.632646715895841
"7454","Chris Van Allsburg","",3.91,13334,543,5349,"['fantasy', 'fiction', 'young-adult', 'mystery']",221,"no","no",0.0407229638518074,0.401154942252887
"7455","Erin Gruwell","The Freedom Writers Diary: How a Teacher and 150 Teens Used Writing to Change Themselves and the World Around Them",4.09,12078,175,4977,"['nonfiction', 'biography', 'memoir']",316,"no","no",0.0144891538334161,0.412071535022355
"7456","Fareed Zakaria","The Post-American World 2.0",3.86,10392,159,2590,"['nonfiction', 'history', 'philosophy']",292,"no","no",0.0153002309468822,0.249230177059276
"7457","Susanna Clarke","The Ladies of Grace Adieu and Other Stories",3.85,14037,197,3669,"['fantasy', 'fiction', 'historical-fiction']",235,"no","no",0.0140343378214718,0.261380636888224
"7458","Dinah Bucholz","",4.1,11111,304,5465,"['cookbooks', 'nonfiction']",256,"no","no",0.027360273602736,0.491854918549186
"7459","Bill Browder","Red Notice: A True Story of High Finance, Murder, and One Man’s Fight for Justice",4.39,12693,117,6967,"['nonfiction', 'history', 'biography', 'business', 'memoir', 'crime']",380,"no","no",0.00921767903568896,0.548885212321752
"7460","Cat Patrick","Forgotten",3.79,16681,385,4829,"['young-adult', 'romance', 'fantasy', 'paranormal', 'mystery', 'contemporary', 'fiction', 'science-fiction']",304,"no","yes",0.0230801510700797,0.289491037707572
"7461","Terry Jones","Lady Cottington's Pressed Fairy Book",3.99,12272,379,5134,"['fantasy', 'art', 'fiction', 'graphic-novels']",64,"no","no",0.0308833116036506,0.418350717079531
"7462","Katie Klein","Cross My Heart",3.92,17964,350,5794,"['young-adult', 'romance', 'contemporary', 'chick-lit']",225,"yes","yes",0.0194834112669784,0.322533956802494
"7463","Trish Doller","Something Like Normal",3.81,15769,415,4640,"['young-adult', 'romance', 'contemporary', 'fiction']",224,"no","yes",0.0263174583042679,0.294248208510368
"7464","Glenn Greenwald","No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State",4.08,10364,170,3853,"['nonfiction', 'history', 'biography']",260,"no","no",0.016402933230413,0.371767657275183
"7465","Orson Scott Card","Pastwatch: The Redemption of Christopher Columbus",3.96,12460,239,4291,"['science-fiction', 'fiction', 'historical-fiction', 'fantasy']",402,"no","no",0.0191813804173355,0.34438202247191
"7466","Lisa Gardner","The Next Accident",4.16,13328,49,5113,"['mystery', 'thriller', 'suspense', 'fiction', 'crime', 'romance']",389,"no","yes",0.00367647058823529,0.383628451380552
"7467","Hafez","دیوان‎‎ [Dīvān]",4.63,6323,89,4862,"['poetry', 'classics', 'spirituality', 'nonfiction', 'philosophy']",566,"no","no",0.0140755970267278,0.76893879487585
"7468","John L. Parker Jr.","Once a Runner",4.05,9804,225,4124,"['fiction', 'sports', 'classics']",226,"no","no",0.0229498164014688,0.420644634842921
"7469","Dante Alighieri","Paradiso",3.94,12570,268,4802,"['classics', 'poetry', 'fiction', 'religion', 'fantasy', 'philosophy']",400,"no","no",0.0213206046141607,0.382020684168656
"7470","Nancy Farmer","The Ear, the Eye, and the Arm",3.85,13107,396,4006,"['young-adult', 'science-fiction', 'fantasy', 'fiction', 'mystery']",311,"no","no",0.0302128633554589,0.305638208590829
"7471","Amy Lichtenhan","Pulled",4.06,21622,399,8337,"['romance', 'contemporary', 'chick-lit', 'young-adult', 'fiction']",298,"yes","yes",0.0184534270650264,0.385579502358709
"7472","R.L. Stine","Stay Out of the Basement",3.64,12845,374,3708,"['horror', 'fiction', 'young-adult', 'fantasy', 'mystery', 'science-fiction', 'thriller']",144,"no","no",0.029116387699494,0.288672635266641
"7473","Belle Aurora","Willing Captive",4.11,18918,483,8174,"['romance', 'contemporary', 'suspense']",287,"no","yes",0.0255312400888043,0.432075272227508
"7474","Julie Kagawa","Talon",3.77,17700,630,5137,"['fantasy', 'young-adult', 'romance', 'paranormal', 'fiction']",449,"no","yes",0.0355932203389831,0.290225988700565
"7475","Grace Draven","Radiance",4.12,16164,232,6704,"['fantasy', 'romance', 'paranormal', 'fiction']",297,"no","yes",0.0143528829497649,0.414748824548379
"7476","Larry Niven","Footfall",3.89,12202,153,3520,"['science-fiction', 'fiction', 'fantasy']",524,"no","no",0.0125389280445829,0.288477298803475
"7477","Heather Brewer","Twelfth Grade Kills",4.36,13845,179,8066,"['young-adult', 'fantasy', 'paranormal', 'fiction', 'horror', 'romance']",325,"no","yes",0.0129288551823763,0.582592993860599
"7478","Alistair MacLean","Ice Station Zebra",3.95,13174,83,4001,"['fiction', 'thriller', 'mystery', 'suspense', 'historical-fiction']",254,"no","no",0.00630028844694094,0.303704265978442
"7479","Ronald C. White Jr.","A. Lincoln: A Biography",4.22,9269,136,4439,"['history', 'biography', 'nonfiction']",816,"no","no",0.0146725644621858,0.478908188585608
"7480","Susan Elizabeth Phillips","Ain't She Sweet?",4.05,17843,212,6748,"['romance', 'contemporary', 'chick-lit', 'fiction']",464,"yes","yes",0.0118814100767808,0.378187524519419
"7481","Jodi Ellen Malpas","",4.14,20224,376,8970,"['romance', 'contemporary', 'fiction']",480,"no","yes",0.0185917721518987,0.443532436708861
"7482","Neal Shusterman","Bruiser",4.04,13161,203,4819,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction', 'contemporary']",328,"no","yes",0.0154243598510751,0.366157586809513
"7483","Lois McMaster Bujold","Falling Free",3.82,13812,218,3551,"['science-fiction', 'fiction', 'fantasy', 'romance']",288,"no","yes",0.0157833767738199,0.25709527946713
"7484","Gayle Forman","",4.24,8428,136,4273,"['young-adult', 'romance', 'fiction', 'contemporary', 'chick-lit']",525,"yes","yes",0.0161366872330327,0.507000474608448
"7485","Jeffery Deaver","The Cold Moon",4.05,13092,91,4285,"['mystery', 'thriller', 'crime', 'fiction', 'suspense']",416,"no","no",0.00695080965475099,0.327299113962725
"7486","Salman Rushdie","The Moor's Last Sigh",3.92,10731,147,3185,"['fiction', 'contemporary', 'historical-fiction']",434,"no","no",0.0136986301369863,0.296803652968037
"7487","Stephen King","The Shawshank Redemption",4.52,12882,16,7972,"['fiction', 'horror', 'thriller', 'classics', 'crime', 'mystery']",181,"no","no",0.00124204316099984,0.618848004968173
"7488","Bill Watterson","The Revenge of the Baby-Sat: A Calvin and Hobbes Collection",4.71,12946,12,9896,"['comics', 'graphic-novels', 'fiction']",128,"no","no",0.000926927236211957,0.764405994129461
"7489","Arthur Conan Doyle","The Case-Book of Sherlock Holmes",4.2,14613,58,6308,"['mystery', 'classics', 'fiction', 'crime', 'historical-fiction']",303,"no","no",0.00396906863751454,0.43167043043865
"7490","Tonya Hurley","Ghostgirl",3.28,15083,1354,2950,"['young-adult', 'fantasy', 'paranormal', 'romance', 'fiction', 'horror']",328,"no","yes",0.089769939667175,0.195584432805145
"7491","Barbara Delinsky","The Secret Between Us",3.71,12674,197,2726,"['fiction', 'chick-lit', 'romance', 'mystery', 'contemporary']",343,"yes","yes",0.0155436326337384,0.215086002840461
"7492","Larry Bond","Red Phoenix",3.98,10961,125,3630,"['fiction', 'thriller', 'historical-fiction', 'suspense']",736,"no","no",0.0114040689718091,0.331174162941337
"7493","Linwood Barclay","Never Look Away",3.99,12736,150,3911,"['thriller', 'mystery', 'fiction', 'suspense', 'crime']",421,"no","no",0.0117776381909548,0.307082286432161
"7494","Naomi Novik","Victory of Eagles (Temeraire, #5)",4.01,14439,55,4370,"['fantasy', 'historical-fiction', 'fiction']",352,"no","no",0.00380912805595955,0.302652538264423
"7495","Malorie Blackman","Knife Edge (Noughts and Crosses, #2)",4.06,12396,84,4455,"['young-adult', 'fiction', 'romance', 'fantasy', 'science-fiction', 'contemporary']",364,"no","yes",0.00677637947725073,0.359390125847047
"7496","Tijan","",4.47,17978,96,10915,"['romance', 'young-adult', 'contemporary', 'sports']",312,"no","yes",0.0053398598286795,0.607130937812882
"7497","Josh Kilmer-Purcell","I Am Not Myself These Days",3.96,10661,179,3634,"['memoir', 'nonfiction', 'biography', 'contemporary']",305,"no","no",0.0167901697776944,0.340868586436544
"7498","Lauren Barnholdt","",3.85,12156,287,4098,"['young-adult', 'romance', 'contemporary', 'chick-lit', 'fiction']",320,"yes","yes",0.0236097400460678,0.337117472852912
"7499","Robin McKinley","Deerskin",3.88,17728,620,6164,"['fantasy', 'young-adult', 'fiction', 'romance']",384,"no","yes",0.0349729241877256,0.347698555956679
"7500","Michael Herr","Dispatches",4.24,11599,141,5506,"['nonfiction', 'history', 'memoir', 'biography']",260,"no","no",0.0121562203638245,0.474696094490904
"7501","Lorenzo Carcaterra","Sleepers",4.18,10772,73,4532,"['fiction', 'crime', 'thriller', 'mystery', 'suspense']",399,"no","no",0.00677682881544746,0.420720386186409
"7502","Sarah Palin","Going Rogue: An American Life",3.28,10697,1618,2243,"['biography', 'nonfiction', 'memoir', 'history', 'science']",413,"no","no",0.151257361877162,0.209684958399551
"7503","Rick Yancey","The Monstrumologist",3.89,14734,526,5143,"['horror', 'young-adult', 'fantasy', 'historical-fiction', 'fiction', 'paranormal', 'mystery']",434,"no","no",0.035699742093118,0.349056603773585
"7504","Robert A. Caro","The Path to Power",4.42,11325,227,6958,"['biography', 'history', 'nonfiction']",882,"no","no",0.0200441501103753,0.61439293598234
"7505","Patricia Cornwell","Depraved Heart",3.58,11697,532,2822,"['mystery', 'fiction', 'thriller', 'crime', 'suspense', 'contemporary']",466,"no","no",0.0454817474566128,0.241258442335642
"7506","Forrest Carter","The Education of Little Tree",4.09,11941,238,5001,"['fiction', 'historical-fiction', 'young-adult', 'classics']",228,"no","no",0.0199313290344192,0.418809144962733
"7507","Gena Showalter","Intertwined",3.87,17141,597,5893,"['young-adult', 'paranormal', 'fantasy', 'romance', 'fiction']",440,"no","yes",0.0348287731170877,0.343795577854268
"7508","Richard Brautigan","In Watermelon Sugar",4.02,9883,236,3916,"['fiction', 'poetry', 'fantasy', 'classics']",144,"no","no",0.0238793888495396,0.396235960740666
"7509","Ali Novak","My Life with the Walter Boys",3.93,15051,385,5408,"['young-adult', 'romance', 'contemporary', 'chick-lit', 'fiction']",368,"yes","yes",0.0255796957012823,0.359311673642947
"7510","John Marsden","Burning For Revenge",4.18,12913,44,5203,"['young-adult', 'fiction', 'science-fiction']",261,"no","no",0.00340741888019825,0.402927282583443
"7511","Crissy Calhoun","Love You to Death: The Unofficial Companion to The Vampire Diaries",4.38,8484,262,5552,"['nonfiction', 'paranormal', 'romance']",222,"no","yes",0.0308816595945309,0.654408297972654
"7512","Myra McEntire","Hourglass",3.8,18437,622,5620,"['young-adult', 'paranormal', 'fantasy', 'romance', 'science-fiction', 'fiction']",390,"no","yes",0.0337365081086945,0.304821825676629
"7513","Al Ries","Positioning: The Battle for Your Mind",4.06,10002,205,4038,"['business', 'nonfiction', 'psychology', 'self-help']",213,"no","no",0.020495900819836,0.40371925614877
"7514","Nalini Singh","",4.28,19651,68,9240,"['romance', 'paranormal', 'fantasy', 'fiction', 'science-fiction']",321,"no","yes",0.00346038369548623,0.470205078621953
"7515","Laurann Dohner","",4.18,19813,325,9165,"['paranormal', 'romance', 'fantasy', 'science-fiction']",376,"no","yes",0.016403371523747,0.462575076969666
"7516","David B.","",3.9,10955,275,3821,"['graphic-novels', 'comics', 'memoir', 'nonfiction', 'biography']",368,"no","no",0.0251026928343222,0.348790506617983
"7517","Tracy Letts","August: Osage County",4.2,11895,221,5657,"['fiction', 'contemporary']",138,"no","no",0.0185792349726776,0.47557797393863
"7518","Tad Williams","Mountain of Black Glass",4.04,12284,124,4399,"['fantasy', 'science-fiction', 'fiction']",749,"no","no",0.0100944317811788,0.358108108108108
"7519","Gregory Maguire","Lost",2.8,12937,1749,1056,"['fantasy', 'fiction', 'mystery', 'horror']",340,"no","no",0.135193630671717,0.0816263430470743
"7520","Christopher Priest","The Prestige",3.87,13806,180,3689,"['fiction', 'fantasy', 'historical-fiction', 'science-fiction', 'mystery', 'horror']",404,"no","no",0.0130378096479791,0.26720266550775
"7521","Donald McCaig","Rhett Butler's People",3.7,14281,727,4189,"['historical-fiction', 'fiction', 'romance', 'classics']",500,"no","yes",0.0509067992437504,0.293326797843288
"7522","Tony Kushner","Angels in America:  A Gay Fantasia on National Themes",4.29,11385,226,6163,"['fiction', 'classics', 'fantasy']",304,"no","no",0.0198506807202459,0.541326306543698
"7523","Michael Ondaatje","Anil's Ghost",3.54,12605,338,2109,"['fiction', 'historical-fiction', 'contemporary', 'mystery']",311,"no","no",0.0268147560491868,0.167314557715192
"7524","Dean Koontz","Winter Moon",3.8,13694,195,3796,"['horror', 'fiction', 'thriller', 'suspense', 'mystery', 'paranormal', 'science-fiction', 'fantasy', 'romance']",472,"no","yes",0.0142398130568132,0.27720169417263
"7525","Kristen Ashley","The Will",4.3,22347,437,12013,"['romance', 'contemporary', 'chick-lit', 'fiction']",595,"yes","yes",0.0195551975656688,0.537566563744574
"7526","Chris Colfer","A Grimm Warning",4.54,15179,87,10008,"['fantasy', 'fiction', 'young-adult']",448,"no","no",0.00573160287238949,0.659331971803149
"7527","Maya Banks","Never Love a Highlander",4.25,18777,129,8805,"['romance', 'historical-fiction', 'fiction']",307,"no","yes",0.00687010704585397,0.468924748362358
"7528","Andrew Hunt","The Pragmatic Programmer: From Journeyman to Master",4.31,10466,67,5111,"['nonfiction', 'science']",321,"no","no",0.00640168163577298,0.488343206573667
"7529","Dee Lestari","Supernova: Petir",3.85,7437,88,2078,"['fiction', 'fantasy', 'science-fiction', 'romance', 'philosophy', 'mystery']",201,"no","yes",0.0118327282506387,0.279413742100309
"7530","James S.A. Corey","Babylon's Ashes",4.18,13450,57,5160,"['science-fiction', 'fiction', 'fantasy']",538,"no","no",0.00423791821561338,0.38364312267658
"7531","T.C. Boyle","Drop City",3.83,9982,158,2516,"['fiction', 'historical-fiction', 'contemporary']",497,"no","no",0.0158284912843118,0.252053696653977
"7532","أنيس منصور","حول العالم في 200 يوم",4.08,9130,186,3797,"['travel', 'nonfiction', 'history', 'biography', 'memoir']",604,"no","no",0.0203723986856517,0.415881708652793
"7533","Madeline Sheehan","",4.31,20377,191,10544,"['contemporary', 'romance', 'crime']",306,"no","yes",0.00937331304902586,0.517446140256171
"7534","Peter Heller","The Painter",3.76,10145,330,2576,"['fiction', 'art', 'contemporary', 'mystery', 'crime']",364,"no","no",0.0325283390832923,0.253918186298669
"7535","Anne Rice","The Vampire Chronicles",4.25,11241,201,5779,"['horror', 'fiction', 'fantasy', 'paranormal', 'classics', 'romance']",9,"no","yes",0.0178809714438217,0.514100169024108
"7536","Olivia Cunning","Hot Ticket",4.28,22197,139,10650,"['romance', 'contemporary', 'music', 'fiction']",375,"no","yes",0.00626210749200342,0.479794566833356
"7537","Iris Johansen","The Search",4.14,12877,51,5026,"['mystery', 'fiction', 'thriller', 'suspense', 'romance', 'crime', 'contemporary']",308,"no","yes",0.00396054981750408,0.390308301623049
"7538","J.K. Rowling","",4.4,11732,106,7179,"['fantasy', 'fiction', 'young-adult']",240,"no","no",0.00903511762700307,0.611916126832595
"7539","Audre Lorde","Zami: A New Spelling of My Name",4.2,9710,218,4660,"['nonfiction', 'memoir', 'biography', 'poetry']",256,"no","no",0.0224510813594233,0.479917610710608
"7540","Cassandra Clare","",4.21,12067,416,6427,"['manga', 'graphic-novels', 'fantasy', 'young-adult', 'romance', 'paranormal', 'historical-fiction']",243,"no","yes",0.0344741857959725,0.532609596419988
"7541","Tere Liye","Hafalan Shalat Delisa",4.2,7891,104,3711,"['fiction', 'religion', 'young-adult']",248,"no","no",0.0131795716639209,0.470282600430871
"7542","Darynda Jones","Sixth Grave on the Edge",4.38,19887,86,10481,"['paranormal', 'romance', 'fantasy', 'mystery']",326,"no","yes",0.00432443304671393,0.527027706541962
"7543","Jenna Black","Glimmerglass",3.76,19121,701,5623,"['fantasy', 'young-adult', 'paranormal', 'romance', 'fiction']",294,"no","yes",0.0366612624862716,0.294074577689451
"7544","James Patterson","Don't Blink",3.79,12627,196,3160,"['mystery', 'fiction', 'thriller', 'crime', 'suspense']",387,"no","no",0.0155222934980597,0.250257384968718
"7545","James Lee Burke","The Tin Roof Blowdown",4.17,11277,111,4694,"['mystery', 'fiction', 'crime', 'thriller', 'suspense', 'historical-fiction']",373,"no","no",0.00984304336259643,0.416245455351601
"7546","Nick Cave","The Death of Bunny Munro",3.43,10858,533,1713,"['fiction', 'thriller', 'contemporary', 'music', 'suspense', 'mystery']",288,"no","no",0.0490882298765887,0.157763860747836
"7547","Julie Kagawa","Winter's Passage (Iron Fey, #1.5)",3.96,21508,177,7530,"['fantasy', 'young-adult', 'paranormal', 'romance', 'fiction']",59,"no","yes",0.00822949600148782,0.350102287520922
"7548","Jennifer Haigh","Faith",3.83,11866,163,2598,"['fiction', 'religion', 'contemporary', 'mystery']",322,"no","no",0.0137367267824035,0.218944884544076
"7549","Lynsay Sands","Bite Me If You Can",4.27,17732,83,8537,"['romance', 'paranormal', 'fantasy', 'fiction']",384,"no","yes",0.00468080306789984,0.481445973381457
"7550","Kristen Ashley","",4.46,20055,364,12931,"['fantasy', 'romance', 'paranormal']",530,"no","yes",0.0181500872600349,0.644776863625031
"7551","Mary Higgins Clark","Moonlight Becomes You",3.8,13945,80,3420,"['mystery', 'fiction', 'suspense', 'thriller', 'crime', 'romance']",352,"no","yes",0.0057368232341341,0.245249193259233
"7552","Ann M. Martin","A Corner of the Universe",4.06,12484,167,4893,"['young-adult', 'fiction', 'historical-fiction', 'contemporary']",224,"no","no",0.0133771227170779,0.391941685357257
"7553","Enid Blyton","The Folk of Faraway Tree",4.32,12578,158,6883,"['fantasy', 'classics', 'fiction', 'young-adult']",185,"no","no",0.0125616155191604,0.547225314040388
"7554","Kathleen E. Woodiwiss","The Flame and the Flower",4.09,13904,383,6160,"['romance', 'historical-fiction', 'fiction', 'chick-lit', 'classics']",430,"yes","yes",0.0275460299194476,0.443037974683544
"7555","Jessica Day George","Princess of Glass",4.03,17729,145,6399,"['fantasy', 'young-adult', 'romance', 'fiction']",266,"no","yes",0.00817869028145976,0.360934062834903
"7556","The Church of Jesus Christ of Latter-day Saints","Preach My Gospel (A Guide to Missionary Service)",4.71,10194,105,8178,"['religion', 'nonfiction', 'spirituality', 'christian']",228,"no","no",0.0103001765744556,0.802236609770453
"7557","Jasper Fforde","The Last Dragonslayer",3.86,15781,213,3812,"['fantasy', 'young-adult', 'fiction']",296,"no","no",0.0134972435206894,0.24155630188201
"7558","Edward Said","Orientalism",4.07,11791,199,4457,"['nonfiction', 'history', 'philosophy']",395,"no","no",0.0168772792808074,0.378000169620897
"7559","Georgia Byng","Molly Moon's Incredible Book of Hypnotism",3.87,17405,539,5896,"['fantasy', 'fiction', 'young-adult', 'mystery', 'contemporary']",371,"no","no",0.0309681126113186,0.338753231829934
"7560","Matthew Reilly","Contest",3.95,11245,163,3875,"['thriller', 'fiction', 'science-fiction', 'fantasy', 'suspense', 'mystery', 'horror']",330,"no","no",0.014495331258337,0.344597598932859
"7561","Tom Brokaw","The Greatest Generation",3.99,13555,183,4599,"['history', 'nonfiction', 'biography', 'memoir']",464,"no","no",0.0135005533013648,0.339284396901512
"7562","Philip K. Dick","The Minority Report",3.82,13408,60,2790,"['science-fiction', 'fiction', 'classics', 'mystery', 'crime', 'thriller']",103,"no","no",0.00447494033412888,0.208084725536993
"7563","Lynn Flewelling","Luck in the Shadows",4.08,14706,257,5856,"['fantasy', 'fiction', 'romance']",479,"no","yes",0.0174758601931185,0.398204814361485
"7564","Jacqueline Davies","The Lemonade War",3.88,11285,236,3545,"['fiction', 'young-adult']",192,"no","no",0.0209127159946832,0.314133805937085
"7565","Mary Pope Osborne","The Knight at Dawn (Magic Tree House, #2)",3.86,14084,275,4857,"['fantasy', 'fiction', 'historical-fiction']",66,"no","no",0.0195257029253053,0.344859414938938
"7566","H.M. Ward","",4.02,16397,413,6236,"['romance', 'contemporary']",164,"no","yes",0.0251875343050558,0.380313471976581
"7567","Ilana Tan","Winter in Tokyo",4.06,8981,102,3597,"['romance', 'fiction', 'young-adult', 'contemporary', 'chick-lit']",313,"yes","yes",0.0113573098764057,0.400512192406191
"7568","Tsugumi Ohba","デスノート #6 (Desu Nōto) Kōkan (交換)",4.39,15664,62,8699,"['manga', 'graphic-novels', 'comics', 'fantasy', 'fiction', 'mystery', 'horror', 'young-adult', 'thriller', 'crime']",215,"no","no",0.00395812053115424,0.555349846782431
